YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Fr,6-7,Jaylen Brown,California,P12,34,F,68.3,2.2,3.6,2.6,0.6,2,95.4,91.6,30.9,47.1,51.8,4.5,16.5,15.1,21,0.6,2.2,1.7,57.4,4.6,0.613,0.654,0.482,27,6.3,0.294
Fr,6-8,Justin Edwards,Kentucky,SEC,32,F,51.5,2.2,2,1.6,1.9,-0.3,117.2,103.8,18,55.7,58.2,6.4,10.4,6.9,11.9,1.1,1.1,2.2,22.5,4.1,0.641,0.776,0.564,39,6.7,0.365
Fr,6-8,Caleb Houstan,Michigan,B10,34,F,80,2.1,3.3,2.1,1.5,0.7,103.4,98,17,48.9,53,3.1,11.7,7.4,16.7,0.9,0.8,1.4,29.2,2.1,0.551,0.783,0.426,59.5,9.3,0.355
Fr,6-6,Nassir Little,North Carolina,ACC,36,F,45.3,2.1,2.5,4.1,2.4,1.7,107.8,90.3,24,50.5,55.1,9.2,16.9,6.1,16.1,0.5,3.3,1.5,36.6,3.6,0.683,0.77,0.529,19,4.2,0.269
Sr,6-8,Tre Scott,Cincinnati,Amer,136,F,52.1,2.1,3.6,5,2,3,109.2,88.1,17.7,51.3,53.3,9.8,21.1,11.6,16.7,1.2,2.6,2.2,37.7,2.5,0.687,0.616,0.526,14.4,2.1,0.294
Sr,6-7,Jarell Eddie,Virginia Tech,ACC,123,F,60.4,2.1,2.7,2.1,1.9,0.2,102.9,99,20.7,48.1,52.5,3.7,16.5,9.7,17.3,0.8,2,0.9,28.8,3.1,0.506,0.812,0.407,52.9,10.2,0.365
So,6-7,Maxwell Lewis,Pepperdine,WCC,49,F,51,2.1,2.4,1.6,1.5,0.1,97,103.2,28.3,50,56.4,4.3,14.7,15.6,20.8,0.8,2.6,2,31,3.8,0.617,0.782,0.494,36.7,8.6,0.34
Fr,6-8,Cam Reddish,Duke,ACC,36,F,70.1,2.1,4.2,3,0.7,2.4,96.4,88.5,23.6,45.9,49.9,2,10.6,10.7,20.7,0.7,1.9,2.9,26.4,3.2,0.512,0.772,0.394,61.8,13.6,0.333
Sr,6-6,Myke Henry,DePaul,BE,118,F,44.8,2,2.2,1.4,1.5,-0.2,100.9,100.6,23.3,52.2,54.6,9,14.7,7.7,19.2,0.4,1.7,2.1,25.6,4.6,0.712,0.7,0.533,28.3,5.8,0.33
Jr,6-6,Elijah Millsap,UAB,CUSA,63,F,67.9,2,4,2.2,0.3,1.9,91.9,87.8,30.2,43.3,49.4,9.8,22.5,13.8,22.5,0.5,1.1,3.3,54.3,4,0.572,0.659,0.441,21.4,4.9,0.27
Sr,6-8,Micah Peavy,Georgetown,BE,159,F,61.6,2,3.3,2.7,0.6,2.1,101.3,95.1,21.1,48.9,50.5,7.1,11.9,14.9,17.8,1.2,1.9,2.6,25.7,3.9,0.579,0.606,0.491,23.3,4.3,0.323
Sr,6-8,Donte Grantham,Clemson,ACC,114,F,65.9,2,3.4,4.3,2.6,1.8,104.9,96.4,18.5,49.6,51.9,5.3,12.9,13.1,16.1,1.3,2.7,1.8,18.9,2.2,0.652,0.726,0.494,49.8,8.6,0.333
Fr,6-8,Patrick Williams,Florida St.,ACC,29,F,52.1,1.9,2.9,4.5,1.8,2.7,104.2,89.3,21.9,49.5,55.1,6.8,13.9,8.4,20.2,0.6,5.6,2.6,35.6,2.9,0.624,0.838,0.5,24,4.4,0.32
Sr,6-7,Matt Ryan,Chattanooga,SC,132,F,45.5,1.9,2,1.7,2.2,-0.5,110.8,103.9,19.6,53.4,56.2,2,12.9,9.5,12.4,1.4,0.5,0.9,18.7,3.4,0.541,0.839,0.518,74,14.6,0.36
So,6-7,Adonis Thomas,Memphis,CUSA,55,F,52.7,1.9,3,2.1,1.8,0.3,102.5,94,20.7,46.6,50.1,5.5,11.1,10.6,15.1,1,2.6,1.3,25.8,2,0.67,0.745,0.458,24.1,4.8,0.325
So,6-9,KZ Okpala,Stanford,P12,52,F,60.4,1.9,3.4,0.8,-0.3,1,96.6,98,24.7,47.4,52,4.4,12.7,12.4,19.8,0.7,1.6,1.8,51.2,3.6,0.528,0.674,0.468,21.1,4.1,0.331
So,6-8,OG Anunoby,Indiana,B10,50,F,31.1,1.9,2.3,7.3,3.9,3.4,114.8,93.8,18.9,62,60.9,10.1,13.7,8.6,18.9,0.8,5.6,3.2,37.6,3.9,0.715,0.522,0.652,31.1,4.9,0.365
Jr,6-8,Marcus Bagley,Arizona St.,P12,17,F,12.8,1.9,2.7,2.1,2.2,-0.1,99.8,99.6,21.3,48.4,51.8,5.5,17.1,8.6,14.6,0.8,1.4,1.2,33.2,3.1,0.567,0.692,0.417,61,11.1,0.351
Sr,6-5,Dexter Dennis,Texas A&M,SEC,144,F,65.5,1.8,3.2,3.1,1.5,1.6,104.5,94.9,17.1,46.7,50.5,5.6,15.1,8,14.4,1,2.6,1.3,26.4,3.1,0.538,0.766,0.42,56.4,9.3,0.336
Sr,6-10,David Wear,UCLA,P12,130,F,49.9,1.8,2.5,1.3,1.1,0.2,107.9,97,16.4,51.3,53.8,7.9,14.7,6.1,15.1,0.8,1,1.4,21.8,3.1,0.633,0.736,0.485,19,2.9,0.423
Sr,6-8,Cameron Reynolds,Tulane,Amer,133,F,54.6,1.7,2.4,-0.5,0.3,-0.8,97.8,106.2,20.7,46.2,49.5,3.9,15.6,9.7,13.1,1,1.4,1.3,22.6,3.3,0.579,0.718,0.431,45.8,9.4,0.333
Sr,6-8,Julian Washburn,UTEP,CUSA,128,F,84.5,1.7,3.3,1.5,0.7,0.8,100.3,99.1,20.1,47.9,50.5,2.9,10,14,14.6,1.4,1.4,1.7,23.4,2.2,0.693,0.7,0.468,25.7,4.8,0.34
Jr,6-8,Raiquan Gray,Florida St.,ACC,90,F,44.2,1.7,2.8,4.4,0.7,3.6,100.4,87.9,21.5,48.6,53.5,6.5,17.7,13.7,22.5,0.9,3,3.1,43.2,4.7,0.596,0.732,0.512,21.7,3.6,0.262
Sr,6-8,Braxton Key,Virginia,ACC,125,F,59.7,1.6,4.1,4.7,1.2,3.5,98.8,86.1,21,47.3,50.7,6.9,18.7,14.1,19.4,1,2.5,2.2,40.5,3,0.587,0.645,0.503,32.3,5.3,0.274
Sr,6-7,Malcolm Miller,Holy Cross,Pat,111,F,57.9,1.6,2.7,3,1.1,1.9,103.4,100.4,19.8,51.5,56.4,3.4,19.2,12.6,19.9,0.9,5.6,2,42.7,3.8,0.598,0.767,0.487,38.1,6.1,0.374
Sr,6-7,Justin Minaya,Providence,BE,110,F,54.5,1.6,3.2,3,1.3,1.7,106.2,97.6,14,47.9,49.7,7.1,13.2,10.6,15.3,1.6,2.4,1.3,24.9,2.8,0.651,0.64,0.519,51.3,6.4,0.295
Fr,6-8,Kyshawn George,Miami FL,ACC,31,F,55.5,1.5,2.3,2.8,1,1.9,107.2,101.5,17.6,56.6,58.2,2.2,12.1,16.3,21.9,1.4,1.8,2.2,14.2,3.1,0.605,0.778,0.467,68.4,10.4,0.408
Fr,6-7,Jordan Walsh,Arkansas,SEC,36,F,60.8,1.3,3.1,2.7,0,2.7,103.5,91.9,15.8,47.9,51.3,5.8,12.9,6.7,15.1,0.9,2,2.6,30.4,4.8,0.622,0.712,0.51,33.2,4.7,0.278
Sr,6-9,Leaky Black,North Carolina,ACC,155,F,60.8,1.3,3.4,4.1,0.6,3.5,106.5,93.7,12.7,45,48.5,5.2,13.7,13.3,18.3,2,2.3,2.2,25.8,2.7,0.605,0.735,0.453,32.7,3.5,0.296
Fr,6-6,Chris Livingston,Kentucky,SEC,34,F,55.5,1.2,2.4,1.6,0.4,1.3,106.3,98,15.1,47.8,51.3,5.7,16.2,5.5,16.2,0.8,1.7,1.2,29.3,3,0.644,0.722,0.488,32.1,4.7,0.305
Sr,6-8,Herbert Jones,Alabama,SEC,129,F,57,1.2,3.2,3.2,-0.5,3.7,94.5,90.8,20.1,46.3,49.6,7.1,14.5,16.9,23.9,1.1,3.2,3,50.2,4.9,0.549,0.605,0.469,15.3,2.1,0.288
Sr,6-7,Paul Watson,Fresno St.,MWC,127,F,70.6,1.1,2.7,-0.5,-0.3,-0.2,98.1,103.2,18.5,48.1,52.1,3.5,13.5,5.7,16,0.6,2.6,1.5,31.5,3.7,0.581,0.706,0.44,44.5,7.4,0.355
So,6-8,Greg Whittington,Georgetown,BE,45,F,42.4,1.1,3.7,3.9,0.8,3.1,97.9,86.6,17.1,49.6,51.4,6,13.8,10.3,20.9,0.9,3.1,2.1,28.5,3.5,0.59,0.62,0.49,43.1,6.4,0.336
Sr,6-9,Jamorko Pickett,Georgetown,BE,119,F,70.1,1,3.1,0.8,0,0.8,93,98.2,18.7,46.4,49.8,4.1,15.3,9.7,21.9,0.7,3,1.4,23.8,2.8,0.518,0.757,0.39,47.1,7.7,0.365
Fr,6-8,Ziaire Williams,Stanford,P12,20,F,50.7,1,3.3,-0.3,-1.6,1.3,85,92.1,25.8,43.1,47.3,2.4,16.4,16.4,23.2,0.8,2.2,1.7,24.1,3.4,0.531,0.796,0.427,38.9,8.2,0.291
Jr,6-8,Jack McVeigh,Nebraska,B10,77,F,34.2,1,1.9,1.6,1.1,0.5,103.3,101.6,16,47.3,50.1,3.5,11.5,7.1,14.2,1,1.2,1.5,19,2.4,0.587,0.746,0.408,66.6,10.8,0.337
Sr,6-7,Jack White,Duke,ACC,103,F,24.4,0.7,2.4,4.9,1,3.9,107.4,87.6,11,48.1,51.8,6.5,16.5,5.9,19.8,1,4.5,2.1,23.8,3.5,0.634,0.807,0.582,67.4,6.3,0.288
Sr,6-6,Trayvon Palmer,Chicago St.,WAC,83,F,70.3,0.7,2.3,-2.1,-1.3,-0.7,92.5,108.1,20.8,46.6,52.5,7.9,18.5,8.8,22.8,0.5,2.9,2.2,37.6,3.9,0.556,0.7,0.465,27.2,4.4,0.313
Sr,6-7,DeQuan Jones,Miami FL,ACC,109,F,29.4,0.5,1.6,-0.1,-1.2,1.1,89.9,95.7,20.3,44.8,47.8,6.7,12.5,6.5,22.8,0.4,3.6,1.9,33.6,3.4,0.626,0.631,0.477,13.1,2.2,0.172
Sr,6-6,Keljin Blevins,Montana St.,BSky,110,F,54.2,-0.1,1.5,-6.2,-3.9,-2.3,85.2,111.7,21.4,41.8,46.7,6,16,9,20.7,0.6,1.4,1.3,41.6,3.3,0.541,0.65,0.439,24.4,4.2,0.234
Fr,6-9,Cooper Flagg,Duke,ACC,37,F,72.8,6,5.1,14.9,9.2,5.8,123,83.4,30.8,53.3,59.3,5.5,21.2,26.8,13.5,2,4.9,2.8,42.9,2.5,0.605,0.84,0.517,27.2,7.2,0.385
Sr,6-8,Doug McDermott,Creighton,BE,145,F,78.6,5.8,3,7.9,9,-1,119.9,99.6,29.8,61.6,65.2,8.2,19.9,10.4,14.7,0.6,0.4,0.4,34.3,2.3,0.708,0.831,0.587,28.8,8,0.458
So,6-8,Keegan Murray,Iowa,B10,66,F,62.1,5.5,3.4,12.4,9.8,2.6,127.3,91.2,24.7,60,62.6,9.8,19.9,8.5,8.5,1.2,6.7,2.3,33.5,2.9,0.695,0.749,0.618,30.6,7.5,0.373
Fr,7-0,Lauri Markkanen,Arizona,P12,37,F,77,5.4,3.7,8.6,7.6,0.9,130.1,94.8,21.5,58.4,63.5,10,17.5,5.6,9.8,0.8,1.8,0.8,43.6,2.6,0.65,0.835,0.545,43.4,8.6,0.423
Sr,6-7,Riley Minix,Morehead St.,OVC,31,F,77.3,5.2,3.7,8.1,6.9,1.2,122.7,99.8,28.1,60.4,63.3,9.7,21.1,14.4,15.3,0.9,3.1,2.1,32.7,2.7,0.76,0.828,0.651,34.2,8.6,0.342
Fr,6-9,Brandon Miller,Alabama,SEC,37,F,80,4.9,4.8,11,7.3,3.6,117,86,25,53.3,58.3,6.7,17.7,12.7,14.7,0.9,2.4,1.5,32.9,2.9,0.578,0.859,0.483,53.5,12.5,0.384
Sr,6-8,Robbie Hummel,Purdue,B10,127,F,67.5,4.6,4,10.4,7.5,2.9,121.1,87.7,22.3,52.5,57.7,7.2,19.6,15.1,10,2,3.2,2.1,36.1,3.2,0.66,0.841,0.483,42.2,8.8,0.389
Sr,6-8,Sam Hauser,Virginia,ACC,126,F,78.3,4.6,3.5,7.8,6.3,1.4,126.6,97.8,18.4,61,63.4,3.8,19.2,13,10.9,2,1.7,1.4,17.5,2.7,0.637,0.88,0.543,57.6,10.4,0.439
Sr,6-8,Kevin Jones,West Virginia,BE,139,F,77.3,4.5,3.8,7.3,6.3,1,120,92,19.7,53.1,55.1,11.5,16.4,7.3,9.8,1,2.8,1.2,25.6,2.1,0.698,0.677,0.549,23.7,4.9,0.315
So,6-9,Matthew Hurt,Duke,ACC,55,F,63.6,4.5,2.9,7.9,6.8,1,126.4,95.2,20.3,61.9,63.5,6.6,14.6,7.9,10.7,1.1,2.6,1.3,24.9,3.8,0.705,0.731,0.609,44.6,9.2,0.421
So,6-9,Gordon Hayward,Butler,Horz,68,F,82,4.4,4.6,9.8,6.2,3.5,117.5,86.5,22,55.7,61.9,6.8,20.9,13,17.3,0.9,3.1,2.4,53.3,2.5,0.695,0.822,0.568,49.5,8.6,0.363
Jr,6-8,Kris Murray,Iowa,B10,77,F,41.7,4.4,3,7.7,6.9,0.8,117.7,96.8,24.9,54.7,56.9,8.9,17.3,11.2,9.9,1.3,4,2,26.9,3.6,0.649,0.699,0.566,43,10.6,0.348
Fr,6-9,Taylor Hendricks,UCF,Amer,34,F,84.4,4.3,4.3,7.1,4.9,2.2,119.9,92.9,20.4,55.7,58.9,8.1,16.2,8.6,12.1,1,5.9,1.6,28.6,2.3,0.647,0.782,0.535,40.3,8,0.394
Fr,6-9,Brandon Ingram,Duke,ACC,36,F,85.9,4.3,4,6.7,5.4,1.3,112.1,96.1,24.6,52.5,55.2,6.1,15.4,11.3,13.7,1,3.6,1.9,35.1,2.4,0.59,0.682,0.464,40.3,9.1,0.41
Sr,6-9,Alec Peters,Valparaiso,Horz,125,F,77.8,4.3,3.7,7.1,6.4,0.8,120.2,96.8,24.1,56.9,61.9,7.3,18.8,10.7,14.5,0.8,0.9,1.4,34.3,2.7,0.663,0.85,0.532,42.9,9.6,0.412
Fr,6-10,Jabari Smith,Auburn,SEC,34,F,70.9,4.2,4.1,10.1,7,3.1,113.5,85.8,26.2,52.2,57.2,3.5,23.4,13.8,14,1,3.8,2.1,38.5,2.9,0.651,0.799,0.435,43.9,10.7,0.422
Fr,6-6,Brice Sensabaugh,Ohio St.,B10,33,F,57.4,4.1,2.7,7.6,7.3,0.3,112,97.8,32.1,55.5,58.8,6.2,18.9,10.9,15.7,0.6,1.7,1.3,24.4,4,0.578,0.83,0.525,36.2,11.1,0.405
Sr,6-10,Kyle Wiltjer,Gonzaga,WCC,145,F,59.4,4.1,3.2,8.1,7.1,1,119.8,93.4,24.1,57.4,60.4,6,14.6,11.2,13.2,1.1,2.4,0.8,23.8,2.5,0.728,0.821,0.528,41.5,10,0.426
So,6-9,Jeremiah Robinson-Earl,Villanova,BE,56,F,83.3,3.9,4.3,5.5,3.3,2.1,109.6,90.4,21.8,51.7,55.6,8.9,22.3,12.3,16.3,1.1,2,1.9,33.4,2.7,0.674,0.768,0.54,26,4.7,0.301
Jr,6-8,Jalen Wilson,Kansas,B12,101,F,74,3.8,4.2,6,4.1,1.9,107.5,89.9,23.9,49.2,53.5,6.5,21.5,12.3,14.2,1.1,1.3,1.4,37.1,2.6,0.596,0.734,0.505,37.5,7.9,0.314
So,6-6,Justin Champagnie,Pittsburgh,ACC,53,F,79.8,3.8,3.9,5,4.3,0.8,110.7,93.8,21.9,48.8,52.6,8.8,20.7,7,9.7,0.8,3.6,2,30.7,2.5,0.634,0.745,0.519,31,6.8,0.28
So,6-7,Jordan Hamilton,Texas,B12,70,F,65,3.8,3.8,9.3,7.3,2.1,111.1,87,25.8,51.6,53.8,6.4,16.8,14.2,14.9,1,1.7,1.8,21.8,2.3,0.706,0.71,0.475,46.1,12.1,0.377
Sr,6-8,Dylan Windler,Belmont,OVC,125,F,72.8,3.8,3.4,6.7,4.8,1.9,122.2,98.4,19.8,63.9,65.5,6.8,22.7,12.2,16,1.3,2.6,1.9,34.8,3.2,0.715,0.764,0.67,48.5,8,0.404
Sr,6-8,Cleanthony Early,Wichita St.,MVC,74,F,65.5,3.7,3.5,7.5,6,1.6,115.7,89.9,26.6,54.2,59.6,8.1,16.8,5.8,15.2,0.4,3.9,1.8,43.1,3.8,0.731,0.817,0.555,41,10.1,0.349
Sr,6-7,Ryan Broekhoff,Valparaiso,Horz,127,F,68.8,3.7,3.1,7.7,6.4,1.3,120.2,96.5,20.7,57.9,61.5,6.6,21.3,14.2,15,1.3,2.8,2.2,35.2,2.6,0.669,0.815,0.53,56.4,10.1,0.411
Fr,6-8,Anthony Bennett,UNLV,MWC,34,F,67.8,3.7,3.8,8.2,5.9,2.3,112.8,85.8,25.7,57.5,60.4,9.9,21.3,8.2,15.3,0.5,4.3,1.5,46,3.4,0.714,0.696,0.576,25.8,5.9,0.383
Sr,6-8,Vincent Edwards,Purdue,B10,138,F,69.5,3.7,3.5,7.1,5.3,1.8,117.1,93.8,21.6,54.3,58.1,8.4,14.2,19.6,16.5,1.7,1.6,1,27.7,2.8,0.666,0.822,0.518,35.5,6.6,0.392
Sr,6-6,Anthony Lamb,Vermont,AE,114,F,57.9,3.6,3.6,6.8,4.7,2.1,109,92.6,31.2,52.5,55.8,7.3,20.6,14.4,15,0.8,5.7,1.9,37,3.5,0.624,0.78,0.535,29.9,8.1,0.334
Fr,6-10,Ace Bailey,Rutgers,B10,30,F,76.6,3.6,3.5,3.7,3.6,0.1,106.3,100.6,26.2,51.4,53.6,7,17.5,8.3,13.4,0.6,4.1,1.7,24.3,3.3,0.61,0.692,0.511,30.8,7.8,0.346
So,6-9,Tyler Lydon,Syracuse,ACC,71,F,82,3.6,4.1,6.3,3.6,2.8,118.2,93.5,17.1,55.9,60.1,7.2,17.9,9.3,15.7,1,5.8,2,35.7,3.1,0.708,0.809,0.531,42.1,6.3,0.398
So,6-9,Ben Bentil,Providence,BE,69,F,69.2,3.5,3.5,4.6,3.7,0.9,108.9,94.7,24.4,49.9,55.4,10,15.8,7.1,14,0.6,2.7,1.2,47,3.8,0.613,0.761,0.503,26.7,5.6,0.324
Sr,6-5,Pat Connaughton,Notre Dame,ACC,139,F,79.1,3.5,3.4,6,4.8,1.2,118.9,97.5,16.1,56.7,58.7,3.9,18,11.1,11.8,1.9,1.6,1.3,18.8,2,0.639,0.777,0.549,60.7,9.8,0.386
Sr,6-7,Draymond Green,Michigan St.,B10,144,F,61.5,3.5,4.3,10.3,5.2,5.2,109.7,82.1,24.5,50.6,54.3,9.5,25.4,24.7,18.9,1.6,3.7,3,44.1,4.4,0.626,0.69,0.496,21.6,4.2,0.36
Jr,6-7,Wes Johnson,Syracuse,BE,61,F,71.7,3.5,4.3,6.9,4.2,2.7,108.4,88.3,23.1,52.7,56.6,6.9,15.5,11.5,17.8,0.9,4.1,2.4,31.4,2.7,0.721,0.777,0.512,37.6,7.9,0.369
So,6-10,D.J. Wilson,Michigan,B10,67,F,31,3.5,3.2,6.3,4.1,2.2,118.8,96,18.7,59.2,61.7,6.3,15.9,8.3,13.2,1.1,5.7,1.1,19.6,3,0.808,0.817,0.624,37.2,6.4,0.358
Jr,6-9,James Webb III,Boise St.,MWC,59,F,69.6,3.5,3.8,6.2,4.3,1.8,118.4,91.6,21.6,57.9,60.4,8.6,26.7,6,11.8,0.6,2.6,2.5,35.6,3.9,0.755,0.678,0.637,37.5,7.4,0.321
Sr,6-9,Malevy Leons,Bradley,MVC,98,F,76.4,3.4,3.8,5.7,3,2.7,119.3,94.2,18.2,56.2,60.9,7.8,15.7,7.8,14.7,0.9,5,2.4,41.5,3.2,0.664,0.801,0.577,43.8,6.6,0.362
Sr,6-5,Chris Johnson,Dayton,A10,138,F,60.3,3.3,3,7.9,6.4,1.5,119.1,92.5,20.2,53.6,58.1,10.3,17.8,9.2,13.7,1,1.7,1.9,33,2.9,0.712,0.829,0.507,58.1,11.1,0.372
So,6-8,Chuma Okeke,Auburn,SEC,71,F,61.2,3.3,3.4,8.4,5.5,2.9,119.2,91.9,19.1,56.4,57.7,10.6,17.7,11.4,14.8,1.2,4.9,2.9,27,3,0.665,0.703,0.55,42.1,7,0.389
Fr,6-10,Jonathan Isaac,Florida St.,ACC,32,F,59.9,3.3,4,9.1,5.3,3.8,118.8,85.9,20,56.8,61.4,7.7,25,7.5,15.7,0.8,6.2,2.4,46.1,3.3,0.682,0.78,0.593,34.8,5.8,0.348
Jr,6-11,Moritz Wagner,Michigan,B10,105,F,48.3,3.3,3.3,6.3,4,2.3,115,90.7,23.6,61.7,63,7.3,19.6,5.5,15,0.5,1.9,2.3,30.5,4.8,0.742,0.7,0.641,37.1,7.9,0.385
Sr,6-7,Jermaine Samuels,Villanova,BE,153,F,54,3.2,3.3,5.4,3.2,2.2,113.7,92.9,19.3,52.6,56.8,7.3,17.9,11.7,15,1.4,2.6,1.5,42.9,3.2,0.662,0.74,0.575,42.4,6.6,0.306
Jr,6-6,Tony Mitchell,Alabama,SEC,89,F,62.1,3.2,4.1,7.7,4.9,2.9,110.8,85.7,22.8,53,54.4,9.4,17.3,9.8,13,0.8,4.1,2.9,24.5,3.3,0.697,0.63,0.556,24.7,5.5,0.301
Sr,6-10,Nae'Qwan Tomlin,Memphis,Amer,57,F,55.8,3.2,3.2,5.3,3.2,2,119.2,95.1,19.1,58.1,60.8,9.9,15.1,7.3,13,0.8,4.3,2.2,30.2,4.4,0.702,0.753,0.611,25.3,4.5,0.328
Jr,6-5,K.J. McDaniels,Clemson,ACC,94,F,57.8,3.2,4,9.6,5.5,4.1,107.6,88.3,25.8,50.1,54.7,9.1,14.3,9.6,15.5,0.6,8.5,2.4,37.1,2.9,0.706,0.767,0.516,32.2,7.4,0.313
Sr,6-9,Tyler Cavanaugh,George Washington,A10,137,F,63.7,3.2,2.7,2.3,2.7,-0.4,108.4,101.1,24.9,51,57.5,7.5,18.2,10.1,17.5,0.6,1.2,0.9,48.1,4.1,0.568,0.82,0.485,34.2,7,0.372
Sr,6-6,Cedric Coward,Washington St.,WCC,69,F,45.9,3.2,2.3,5,4.2,0.8,126.3,105.3,19,65.6,69.4,7.3,19.3,12.8,17.4,1.3,3.7,1.8,36.3,3.1,0.761,0.838,0.712,37.6,5.8,0.376
Sr,6-9,Robert Franks,Washington St.,P12,109,F,52.2,3.2,2.2,1.7,2.6,-0.9,106.4,107.2,25.5,55.1,59,5.6,17.4,13.4,17.8,0.8,2.9,0.9,31.1,3.7,0.682,0.831,0.537,44.3,9.6,0.378
Sr,6-10,Killian Tillie,Gonzaga,WCC,108,F,37.3,3.2,3,9.4,5.4,4,124.9,87.9,19.9,62.4,64.3,7.1,17.6,11.5,14.7,1.4,3.6,2.2,29.2,4.6,0.72,0.75,0.603,34,6.1,0.444
Sr,6-11,Ryan Kelly,Duke,ACC,126,F,41.3,3.1,3,8.1,4.7,3.4,118.3,88.7,18.4,53.5,58.5,6.9,14.5,9,13.8,1.2,5.1,1.7,38.2,3.9,0.683,0.805,0.513,39.4,6.4,0.379
Fr,6-8,Jarace Walker,Houston,Amer,36,F,67.4,3,4.4,7.7,4,3.7,112.3,83.6,22,51.5,53.3,9.5,18.1,12.4,14.9,1.2,6.2,2.2,23.6,3,0.693,0.662,0.513,29.8,6.2,0.347
Sr,6-10,Chandler Parsons,Florida,SEC,142,F,68.6,3,3.3,5.8,4.2,1.6,112,93.7,20,54.6,56,8,17.2,16.1,17.7,1.4,1.1,1.9,36.4,2.9,0.712,0.611,0.575,41.1,6.8,0.337
Jr,6-8,Kessler Edwards,Pepperdine,WCC,90,F,76.5,3,3.1,4.2,3.4,0.9,111.8,100.1,19.2,55.6,59.2,6.1,17.9,7.1,13.9,0.8,4.6,1.7,30.6,2.9,0.637,0.791,0.535,42.2,7.3,0.39
Sr,6-10,Justin Harper,Richmond,A10,136,F,55.6,3,2.9,4.6,4.1,0.5,110.2,94.1,23.4,56.4,58.5,7.6,17,7.5,14.5,0.6,3.9,1.5,25.9,3.9,0.753,0.713,0.557,42.1,9.2,0.383
Sr,6-7,Kevin Hervey,UT Arlington,SB,111,F,57.7,2.9,3.2,5.1,4.4,0.7,106.9,96.9,26.7,50.7,54.1,7.6,23.3,14.5,15.6,0.9,2.1,1.9,29,2.7,0.676,0.771,0.534,43.8,10.9,0.315
Jr,6-10,Isaiah Mobley,USC,P12,95,F,66,2.9,3.6,5.3,2.8,2.5,107,90.5,20.8,50.4,52.4,9,18.6,13.8,15.8,1.3,3.2,1.3,41.1,3.2,0.603,0.596,0.492,24.6,4.2,0.36
Sr,6-10,Adreian Payne,Michigan St.,B10,136,F,47.5,2.9,3.3,6,3.1,2.9,110.8,85.5,22.2,56.3,60.2,9.4,21.3,6.5,18.8,0.4,5.8,1.7,44,4.3,0.716,0.752,0.552,17.7,3.3,0.409
Sr,6-8,Hunter Tyson,Clemson,ACC,140,F,44.8,2.9,3.1,5.7,3.9,1.8,114.4,92.6,19.2,55.2,58.7,5,22.3,7.9,10.6,1.2,1.3,1.7,29.5,2.7,0.656,0.79,0.558,54.8,9.8,0.365
Sr,6-9,Robert Covington,Tennessee St.,OVC,112,F,68.4,2.8,2.9,4.6,3.7,0.9,108.1,98.8,24.4,54,57.8,9.8,19.5,10.3,19.1,0.5,4.8,3,29.7,4.1,0.636,0.797,0.498,33.2,7.2,0.418
Jr,6-9,Rasheer Fleming,Saint Joseph's,A10,101,F,64.3,2.7,3.3,4.5,2.6,1.8,117.1,96.1,18.9,58.6,60.3,9.4,20.7,6.9,14.1,0.8,5.6,2.2,31.3,3.8,0.689,0.68,0.635,43.8,7.4,0.349
So,6-8,Oshae Brissett,Syracuse,ACC,71,F,88.4,2.7,4.8,3,1.5,1.5,100.5,91.2,22.9,42.2,48.4,7.2,18.8,8.3,14.4,0.7,3,1.9,44.7,2.4,0.476,0.736,0.404,33.3,6.7,0.307
Sr,6-7,Jarrell Brantley,Charleston,CAA,120,F,71.5,2.6,3.9,3.1,1.7,1.4,104.5,94.3,27.3,52.4,56.7,7,22.6,11.7,18.2,0.7,2.6,2.3,37.7,3.7,0.646,0.766,0.525,22.4,5,0.348
Fr,6-9,Johnny Furphy,Kansas,B12,32,F,57,2.6,3.1,5.4,3.3,2.2,117.5,94,17,57.7,60.3,6.6,16.3,7.1,12.1,1.2,1.6,2,40.3,3.5,0.8,0.765,0.633,60.7,9,0.361
Sr,6-9,Cole Swider,Syracuse,ACC,110,F,47.2,2.6,2.4,3.6,3,0.6,113.1,99,17.4,55,56.9,4.2,14.9,8,12.5,1.3,1.2,1.3,14.7,3.1,0.713,0.794,0.517,62.2,10.9,0.38
Sr,6-8,Dorian Finney-Smith,Florida,SEC,134,F,67.7,2.6,3.9,5.9,3.6,2.3,104.7,89.6,22.2,49,52,10.5,18.2,14.1,17.5,1.1,2.7,1.7,37.3,3.3,0.568,0.657,0.449,43.8,8.1,0.361
Fr,6-9,Jeremy Sochan,Baylor,B12,30,F,55,2.5,3.6,7.1,3.3,3.8,108.8,85.2,20,53.1,54.6,8.9,20.6,12.3,18.1,1.1,3.2,2.9,42.7,3.7,0.75,0.589,0.585,38.4,6.3,0.296
Sr,6-10,Miles Norris,UC Santa Barbara,BW,111,F,55.2,2.5,2.8,3.9,2.9,1,113.2,98.7,18.5,54.7,58.3,5.8,16.6,8.2,12.5,1.1,2.8,1.9,27,2.7,0.663,0.769,0.545,42.8,7.4,0.366
